SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Pred_L,Pred_a,Pred_b,Target_L,Target_a,Target_b,Delta_E
0.0,93.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,50.130306,-14.1737995,-6.371415,50.06,-14.0,-6.32,0.19440358974568822
0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,32.763306,19.10666,8.6038065,32.76,19.27,8.71,0.19485293947264024
0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,342.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.11052,10.621017,5.5513167,31.06,10.78,5.45,0.19517361862767135
0.0,600.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30.335598,-0.057071447,-0.7706442,30.15,-0.06,-0.71,0.19527649260281016
0.0,12.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,491.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,48.676594,-5.478675,-32.73994,48.83,-5.6,-32.77,0.19788081199061333
0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,42.58374,40.91787,20.425194,42.69,40.89,20.59,0.19806296618069327
0.0,530.0,0.0,0.0,110.0,0.0,50.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,31.656124,-1.6839345,-3.3139005,31.75,-1.51,-3.33,0.19830549558140467
0.0,60.0,0.0,0.0,27.0,0.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39.006092,11.154953,16.73748,39.2,11.13,16.7,0.1990670734678257
0.0,27.0,0.0,581.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.79049,-16.906654,-15.678049,36.74,-16.8,-15.84,0.2003806605042601
0.0,41.0,0.0,392.0,0.0,0.0,476.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,34.037422,-18.020386,6.014398,33.96,-18.04,6.2,0.20205687100842307
0.0,11.0,0.0,0.0,0.0,0.0,150.0,640.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,47.22366,36.992737,31.04768,47.1,36.85,31.12,0.2022267816180443
0.0,230.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,90.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.47497,4.572135,6.5465965,33.32,4.64,6.66,0.20367194118092505
0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,460.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,45.798183,2.0056136,-39.98682,45.88,2.09,-39.82,0.20406863000932604
0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,829.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.771503,14.4839,7.5352564,34.94,14.47,7.42,0.20461753173107844
0.0,55.0,0.0,30.0,384.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,48.43842,-24.354832,-0.6028393,48.49,-24.42,-0.79,0.20478428439958982
0.0,0.0,0.0,0.0,600.0,0.0,160.0,56.0,0.0,240.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.677353,-17.250986,2.0474432,34.61,-17.44,2.0,0.20618807227837657
0.0,57.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,918.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,36.65668,20.113863,12.746867,36.49,20.16,12.86,0.20666454602951498
0.0,200.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,250.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.939957,9.333785,0.77439374,34.94,9.53999999999999,0.79,0.20680464211756444
6.0,0.0,0.0,430.0,49.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,484.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,51.92178,-20.376478,-32.540287,51.82,-20.2,-32.58,0.2075590709578137
0.0,221.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.517223,0.5271087,-6.904237,28.64,0.69,-6.86,0.2087212588332024
0.0,30.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,70.0,0.0,0.0,440.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43.34776,-1.278581,-26.0025,43.4,-1.44,-25.88,0.20926433810490488
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,708.0,0.0,0.0,286.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,49.635864,48.73689,-2.2100923,49.62,48.53,-2.25,0.2112990999697376
0.0,80.0,0.0,0.0,479.0,0.0,35.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.278423,-12.161134,-5.5446615,36.13,-12.02,-5.49,0.21198136871803872
0.0,38.0,0.0,581.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.60274,-10.369466,-13.496116,33.8,-10.31,-13.55,0.21295708950725592
0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39.01457,-6.647892,-32.74252,39.03,-6.45,-32.82,0.21307891999155998
0.0,11.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,621.0,0.0,0.0,0.0,213.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.405067,3.756925,-24.67575,39.61,3.73,-24.62,0.21408049437638213
24.0,0.0,0.0,288.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,56.71444,-20.40723,-31.818491,56.87,-20.55,-31.78,0.2146248439212506
